,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108
P 25,FREQUENCY_4,"COMFORT_LEVEL_\somewhat_comfortable\""""","GRAY_LEVEL_\all\""""",browser_chrome,"DO_WITH_HAIR_\highlight_only\""""","GRAY_LEVEL_\less_than_50\""""",pages_signIn,visitor_age,"COMFORT_LEVEL_\very_comfortable\""""","DO_WITH_HAIR_\color_and_highlights\""""",visit_count,"COMFORT_LEVEL_\not_comfortable\""""",browser_other,"DO_WITH_HAIR_\change\""""",longitude,predicted_future_ltr_10yr,customer_type_other,pages_email-unsubscribe,"HAIR_COLOR_\blonde\""""",total_pages,order_type_one-time,"COLOR_WHERE_\salon_and_home\""""",pages_cart,customer_type_color,"COLOR_WHERE_\at_salon\""""",medium_cpc,pages_shop,pages_support,pages_share,pages_blog,device_mobile,utm_other,pages_color-advisor,revenue,pages_shopping,pages_welcome,"NATURAL_HAIR_COLOR_\blonde\""""",medium_other,pages_search,"NATURAL_HAIR_COLOR_\brown\""""",utm_direct,medium_none,purchases,device_desktop,utm_google,pages_hair-dye-ingredients,pages_membership,pages_refer,utm_iterable,pages_color-translator,FREQUENCY_7,total_order_type,total_customer_type,"GRAY_LEVEL_\not_sure\""""",pages_landing,city,pages_checkout,pages_hair-colorist,pages_about,"NATURAL_HAIR_COLOR_\red\""""",pages_faqs,medium_email,pages_how-to-color-your-hair,customer_type_gloss,pages_confirmation,utm_facebook,FREQUENCY_2,pages_hair-color-chart,FREQUENCY_12,pages_other,order_type_subscription,"DO_WITH_HAIR_\not_sure\""""",utm_bronto,customer_type_rootreboot,browser_facebook,medium_fbigan,"HAIR_COLOR_\red\""""",medium_organic,"HAIR_COLOR_\brown\""""",order_type_renewal,FREQUENCY_5,"NATURAL_HAIR_COLOR_\black\""""",device_tablet,pages_hair-color,"HAIR_COLOR_\black\""""",browser_ie,FREQUENCY_3,pages_product,pages_learn-more,pages_account,pages_colorbar,customer_type_colorbar,FREQUENCY_other,browser_safari,pages_notloggedin,"GRAY_LEVEL_\more_than_50\""""",pages_compare-shades,browser_firefox,avg_session_length,state,"COLOR_WHERE_\at_home\""""","DO_WITH_HAIR_\touch_up\""""",FREQUENCY_6,country,"GRAY_LEVEL_\no_gray\""""",FREQUENCY_8,"COMFORT_LEVEL_\comfortable\""""",latitude
P 26,FREQUENCY_6,"COMFORT_LEVEL_\very_comfortable\""""",FREQUENCY_3,"GRAY_LEVEL_\all\""""",FREQUENCY_2,"DO_WITH_HAIR_\not_sure\""""","GRAY_LEVEL_\no_gray\""""","COMFORT_LEVEL_\not_comfortable\""""",longitude,pages_share,"COMFORT_LEVEL_\somewhat_comfortable\""""",utm_bronto,browser_other,pages_account,pages_colorbar,customer_type_colorbar,pages_refer,browser_firefox,"HAIR_COLOR_\brown\""""","COLOR_WHERE_\at_salon\""""","NATURAL_HAIR_COLOR_\brown\""""",pages_notloggedin,total_pages,FREQUENCY_other,device_tablet,medium_fbigan,"COLOR_WHERE_\at_home\""""",FREQUENCY_12,pages_hair-colorist,customer_type_color,medium_cpc,medium_email,pages_shop,visit_count,pages_how-to-color-your-hair,pages_search,pages_cart,pages_color-translator,"NATURAL_HAIR_COLOR_\black\""""",pages_color-advisor,"GRAY_LEVEL_\not_sure\""""",FREQUENCY_8,pages_checkout,revenue,total_order_type,total_customer_type,pages_about,"HAIR_COLOR_\black\""""",avg_session_length,purchases,pages_welcome,customer_type_other,pages_confirmation,"DO_WITH_HAIR_\highlight_only\""""",utm_other,order_type_renewal,pages_hair-color-chart,order_type_one-time,pages_faqs,device_desktop,pages_compare-shades,"HAIR_COLOR_\red\""""",browser_facebook,pages_support,utm_google,utm_facebook,visitor_age,order_type_subscription,pages_other,"DO_WITH_HAIR_\change\""""",browser_chrome,customer_type_gloss,medium_none,utm_direct,utm_iterable,pages_blog,browser_safari,device_mobile,predicted_future_ltr_10yr,"DO_WITH_HAIR_\color_and_highlights\""""","NATURAL_HAIR_COLOR_\red\""""",pages_shopping,medium_other,medium_organic,city,pages_product,pages_signIn,pages_email-unsubscribe,browser_ie,pages_hair-dye-ingredients,pages_membership,"NATURAL_HAIR_COLOR_\blonde\""""","DO_WITH_HAIR_\touch_up\""""","HAIR_COLOR_\blonde\""""",customer_type_rootreboot,"GRAY_LEVEL_\less_than_50\""""",pages_learn-more,pages_hair-color,"GRAY_LEVEL_\more_than_50\""""",pages_landing,FREQUENCY_7,FREQUENCY_5,"COLOR_WHERE_\salon_and_home\""""",state,latitude,country,"COMFORT_LEVEL_\comfortable\""""",FREQUENCY_4
P 27,"COMFORT_LEVEL_\very_comfortable\""""","DO_WITH_HAIR_\touch_up\""""",pages_learn-more,pages_hair-color,customer_type_rootreboot,pages_shop,medium_organic,browser_chrome,"COLOR_WHERE_\salon_and_home\""""",pages_landing,FREQUENCY_6,medium_other,FREQUENCY_4,FREQUENCY_8,"DO_WITH_HAIR_\change\""""",browser_safari,device_tablet,"GRAY_LEVEL_\no_gray\""""","DO_WITH_HAIR_\color_and_highlights\""""",total_pages,pages_shopping,pages_color-advisor,customer_type_gloss,pages_share,"HAIR_COLOR_\red\""""","COMFORT_LEVEL_\somewhat_comfortable\""""",longitude,pages_hair-dye-ingredients,order_type_subscription,avg_session_length,pages_blog,FREQUENCY_other,"COLOR_WHERE_\at_salon\""""",visit_count,order_type_renewal,browser_facebook,utm_bronto,"HAIR_COLOR_\blonde\""""","HAIR_COLOR_\black\""""",utm_other,"GRAY_LEVEL_\not_sure\""""",pages_confirmation,"NATURAL_HAIR_COLOR_\blonde\""""",pages_checkout,utm_direct,medium_none,"HAIR_COLOR_\brown\""""","COLOR_WHERE_\at_home\""""",total_customer_type,total_order_type,"NATURAL_HAIR_COLOR_\red\""""",pages_color-translator,utm_facebook,medium_email,pages_about,city,"GRAY_LEVEL_\less_than_50\""""",purchases,FREQUENCY_7,utm_iterable,"NATURAL_HAIR_COLOR_\brown\""""",pages_refer,pages_how-to-color-your-hair,"NATURAL_HAIR_COLOR_\black\""""",pages_faqs,revenue,pages_hair-color-chart,device_mobile,customer_type_colorbar,pages_notloggedin,pages_other,visitor_age,pages_cart,"GRAY_LEVEL_\all\""""",device_desktop,FREQUENCY_2,pages_membership,FREQUENCY_12,pages_compare-shades,pages_colorbar,utm_google,pages_email-unsubscribe,customer_type_color,pages_hair-colorist,FREQUENCY_3,latitude,"GRAY_LEVEL_\more_than_50\""""",pages_signIn,state,predicted_future_ltr_10yr,order_type_one-time,pages_product,pages_account,pages_welcome,"COMFORT_LEVEL_\comfortable\""""",browser_firefox,medium_fbigan,browser_ie,pages_search,"COMFORT_LEVEL_\not_comfortable\""""",pages_support,country,medium_cpc,FREQUENCY_5,customer_type_other,browser_other,"DO_WITH_HAIR_\not_sure\""""","DO_WITH_HAIR_\highlight_only\"""""
P 28,pages_learn-more,total_pages,pages_hair-dye-ingredients,"DO_WITH_HAIR_\highlight_only\""""",pages_faqs,visit_count,pages_shop,pages_hair-color,customer_type_other,pages_about,visitor_age,"COMFORT_LEVEL_\comfortable\""""",FREQUENCY_3,pages_how-to-color-your-hair,pages_support,pages_hair-colorist,pages_color-advisor,pages_color-translator,avg_session_length,pages_other,pages_refer,pages_checkout,"NATURAL_HAIR_COLOR_\red\""""",pages_confirmation,device_mobile,"HAIR_COLOR_\red\""""",browser_ie,customer_type_rootreboot,"GRAY_LEVEL_\no_gray\""""",pages_landing,FREQUENCY_12,pages_cart,order_type_subscription,pages_shopping,"GRAY_LEVEL_\all\""""",utm_bronto,predicted_future_ltr_10yr,FREQUENCY_5,"DO_WITH_HAIR_\not_sure\""""",device_desktop,FREQUENCY_8,pages_share,browser_chrome,FREQUENCY_7,medium_email,pages_membership,FREQUENCY_2,"COLOR_WHERE_\at_home\""""",medium_other,utm_direct,city,medium_none,utm_other,browser_safari,medium_cpc,revenue,utm_iterable,"NATURAL_HAIR_COLOR_\brown\""""",purchases,browser_facebook,longitude,browser_firefox,customer_type_color,utm_facebook,medium_fbigan,"HAIR_COLOR_\brown\""""",total_order_type,total_customer_type,pages_blog,order_type_renewal,latitude,pages_signIn,"NATURAL_HAIR_COLOR_\blonde\""""",order_type_one-time,"DO_WITH_HAIR_\color_and_highlights\""""","NATURAL_HAIR_COLOR_\black\""""",FREQUENCY_other,state,"COLOR_WHERE_\at_salon\""""","DO_WITH_HAIR_\change\""""","COMFORT_LEVEL_\not_comfortable\""""","GRAY_LEVEL_\more_than_50\""""","GRAY_LEVEL_\not_sure\""""","GRAY_LEVEL_\less_than_50\""""",FREQUENCY_6,"HAIR_COLOR_\blonde\""""","HAIR_COLOR_\black\""""",pages_colorbar,"DO_WITH_HAIR_\touch_up\""""",pages_welcome,utm_google,country,customer_type_colorbar,"COMFORT_LEVEL_\somewhat_comfortable\""""",medium_organic,"COLOR_WHERE_\salon_and_home\""""",customer_type_gloss,browser_other,pages_search,"COMFORT_LEVEL_\very_comfortable\""""",pages_email-unsubscribe,pages_compare-shades,device_tablet,pages_hair-color-chart,FREQUENCY_4,pages_product,pages_notloggedin,pages_account
P 29,browser_other,FREQUENCY_4,"COMFORT_LEVEL_\comfortable\""""",utm_bronto,browser_ie,avg_session_length,browser_firefox,pages_faqs,pages_support,FREQUENCY_8,"DO_WITH_HAIR_\touch_up\""""",device_mobile,pages_about,pages_hair-colorist,medium_fbigan,pages_color-translator,customer_type_colorbar,longitude,pages_learn-more,pages_colorbar,pages_cart,"COLOR_WHERE_\salon_and_home\""""",pages_product,"COLOR_WHERE_\at_home\""""","NATURAL_HAIR_COLOR_\blonde\""""",FREQUENCY_6,pages_search,pages_hair-dye-ingredients,"HAIR_COLOR_\blonde\""""",pages_shopping,"GRAY_LEVEL_\more_than_50\""""","HAIR_COLOR_\red\""""",medium_email,medium_cpc,pages_account,pages_share,"HAIR_COLOR_\brown\""""","GRAY_LEVEL_\less_than_50\""""","NATURAL_HAIR_COLOR_\red\""""",pages_how-to-color-your-hair,customer_type_rootreboot,"DO_WITH_HAIR_\change\""""","GRAY_LEVEL_\not_sure\""""",order_type_renewal,pages_color-advisor,pages_refer,device_desktop,utm_other,customer_type_gloss,"GRAY_LEVEL_\no_gray\""""",revenue,pages_compare-shades,purchases,order_type_subscription,medium_organic,customer_type_color,utm_direct,medium_none,total_customer_type,total_order_type,pages_blog,city,total_pages,order_type_one-time,pages_membership,utm_google,pages_notloggedin,"NATURAL_HAIR_COLOR_\brown\""""","COLOR_WHERE_\at_salon\""""",pages_other,pages_checkout,pages_hair-color-chart,utm_facebook,pages_welcome,pages_confirmation,predicted_future_ltr_10yr,"COMFORT_LEVEL_\not_comfortable\""""",browser_facebook,"DO_WITH_HAIR_\not_sure\""""",visit_count,utm_iterable,"NATURAL_HAIR_COLOR_\black\""""",FREQUENCY_other,pages_hair-color,pages_shop,FREQUENCY_3,FREQUENCY_12,"HAIR_COLOR_\black\""""","COMFORT_LEVEL_\somewhat_comfortable\""""",pages_signIn,browser_safari,FREQUENCY_2,"GRAY_LEVEL_\all\""""",visitor_age,customer_type_other,medium_other,"DO_WITH_HAIR_\color_and_highlights\""""",pages_landing,FREQUENCY_7,"COMFORT_LEVEL_\very_comfortable\""""",state,device_tablet,FREQUENCY_5,"DO_WITH_HAIR_\highlight_only\""""",browser_chrome,country,pages_email-unsubscribe,latitude
P 30,browser_other,device_tablet,pages_blog,browser_chrome,utm_bronto,country,pages_share,"GRAY_LEVEL_\more_than_50\""""",FREQUENCY_5,pages_shop,latitude,total_pages,pages_account,pages_other,pages_faqs,pages_color-advisor,pages_how-to-color-your-hair,visit_count,avg_session_length,medium_organic,"COMFORT_LEVEL_\somewhat_comfortable\""""",customer_type_gloss,state,pages_color-translator,FREQUENCY_8,medium_email,pages_support,utm_other,"DO_WITH_HAIR_\color_and_highlights\""""",pages_about,"DO_WITH_HAIR_\not_sure\""""",FREQUENCY_7,"COLOR_WHERE_\at_home\""""",pages_signIn,pages_shopping,visitor_age,"HAIR_COLOR_\brown\""""",pages_cart,order_type_one-time,medium_other,"NATURAL_HAIR_COLOR_\black\""""",order_type_renewal,"HAIR_COLOR_\black\""""",FREQUENCY_12,"COMFORT_LEVEL_\very_comfortable\""""","COLOR_WHERE_\at_salon\""""",pages_hair-colorist,"GRAY_LEVEL_\not_sure\""""",total_customer_type,total_order_type,pages_checkout,purchases,pages_notloggedin,customer_type_color,medium_none,utm_direct,revenue,"GRAY_LEVEL_\less_than_50\""""","NATURAL_HAIR_COLOR_\red\""""",city,"NATURAL_HAIR_COLOR_\blonde\""""","HAIR_COLOR_\blonde\""""","HAIR_COLOR_\red\""""",customer_type_rootreboot,"DO_WITH_HAIR_\change\""""","NATURAL_HAIR_COLOR_\brown\""""",pages_confirmation,customer_type_colorbar,browser_facebook,device_mobile,pages_colorbar,"DO_WITH_HAIR_\touch_up\""""",pages_hair-dye-ingredients,"DO_WITH_HAIR_\highlight_only\""""",predicted_future_ltr_10yr,medium_fbigan,FREQUENCY_3,utm_google,order_type_subscription,utm_facebook,"GRAY_LEVEL_\no_gray\""""",FREQUENCY_other,pages_hair-color-chart,"COLOR_WHERE_\salon_and_home\""""",utm_iterable,FREQUENCY_6,"COMFORT_LEVEL_\comfortable\""""",pages_welcome,pages_refer,"COMFORT_LEVEL_\not_comfortable\""""",pages_compare-shades,pages_membership,FREQUENCY_4,customer_type_other,longitude,FREQUENCY_2,device_desktop,pages_learn-more,medium_cpc,pages_search,browser_safari,pages_product,"GRAY_LEVEL_\all\""""",pages_hair-color,browser_ie,pages_email-unsubscribe,pages_landing,browser_firefox
P 31,"COMFORT_LEVEL_\comfortable\""""",FREQUENCY_5,browser_chrome,pages_share,FREQUENCY_12,"GRAY_LEVEL_\all\""""",longitude,FREQUENCY_other,pages_signIn,medium_other,customer_type_gloss,medium_organic,"GRAY_LEVEL_\not_sure\""""","COLOR_WHERE_\at_salon\""""",pages_email-unsubscribe,customer_type_colorbar,pages_refer,FREQUENCY_3,device_tablet,"COLOR_WHERE_\at_home\""""",utm_bronto,"COMFORT_LEVEL_\not_comfortable\""""",pages_account,pages_colorbar,FREQUENCY_2,pages_notloggedin,device_mobile,pages_landing,pages_shop,utm_google,"HAIR_COLOR_\brown\""""",city,order_type_renewal,"HAIR_COLOR_\blonde\""""","GRAY_LEVEL_\less_than_50\""""","DO_WITH_HAIR_\touch_up\""""",pages_color-advisor,"NATURAL_HAIR_COLOR_\blonde\""""",order_type_subscription,"NATURAL_HAIR_COLOR_\red\""""",browser_facebook,pages_cart,FREQUENCY_8,pages_product,visit_count,"DO_WITH_HAIR_\color_and_highlights\""""",utm_other,FREQUENCY_7,customer_type_color,purchases,pages_welcome,utm_direct,medium_none,pages_membership,pages_support,total_customer_type,total_order_type,revenue,pages_hair-colorist,medium_email,total_pages,"HAIR_COLOR_\red\""""",browser_safari,utm_facebook,pages_hair-color-chart,pages_color-translator,pages_blog,pages_checkout,pages_shopping,predicted_future_ltr_10yr,"DO_WITH_HAIR_\not_sure\""""",order_type_one-time,visitor_age,pages_search,utm_iterable,pages_hair-color,pages_confirmation,customer_type_rootreboot,"NATURAL_HAIR_COLOR_\brown\""""",pages_compare-shades,pages_about,"DO_WITH_HAIR_\change\""""","NATURAL_HAIR_COLOR_\black\""""",medium_cpc,device_desktop,"HAIR_COLOR_\black\""""","GRAY_LEVEL_\no_gray\""""",pages_hair-dye-ingredients,"GRAY_LEVEL_\more_than_50\""""",medium_fbigan,pages_faqs,avg_session_length,"DO_WITH_HAIR_\highlight_only\""""",pages_learn-more,browser_firefox,customer_type_other,browser_other,"COLOR_WHERE_\salon_and_home\""""",pages_how-to-color-your-hair,pages_other,browser_ie,FREQUENCY_6,FREQUENCY_4,state,"COMFORT_LEVEL_\somewhat_comfortable\""""",latitude,"COMFORT_LEVEL_\very_comfortable\""""",country
P 32,"DO_WITH_HAIR_\not_sure\""""",FREQUENCY_6,"COMFORT_LEVEL_\comfortable\""""","GRAY_LEVEL_\more_than_50\""""",device_tablet,visitor_age,FREQUENCY_4,pages_email-unsubscribe,visit_count,FREQUENCY_8,pages_signIn,total_pages,pages_blog,"COLOR_WHERE_\at_salon\""""",pages_membership,"GRAY_LEVEL_\no_gray\""""","COMFORT_LEVEL_\not_comfortable\""""",medium_organic,pages_color-advisor,pages_shop,customer_type_gloss,pages_refer,pages_color-translator,browser_safari,pages_welcome,pages_share,browser_chrome,"NATURAL_HAIR_COLOR_\black\""""","COLOR_WHERE_\at_home\""""",medium_other,device_desktop,pages_checkout,utm_google,browser_firefox,"GRAY_LEVEL_\not_sure\""""",utm_iterable,revenue,purchases,pages_confirmation,"DO_WITH_HAIR_\color_and_highlights\""""","NATURAL_HAIR_COLOR_\brown\""""","HAIR_COLOR_\red\""""","HAIR_COLOR_\black\""""",customer_type_color,"DO_WITH_HAIR_\highlight_only\""""","NATURAL_HAIR_COLOR_\red\""""",order_type_renewal,total_order_type,total_customer_type,pages_landing,predicted_future_ltr_10yr,browser_facebook,medium_none,utm_direct,longitude,pages_support,pages_compare-shades,"HAIR_COLOR_\brown\""""",order_type_one-time,utm_other,utm_facebook,pages_account,FREQUENCY_2,pages_shopping,state,customer_type_other,order_type_subscription,pages_about,medium_cpc,browser_ie,city,country,medium_email,pages_hair-color-chart,"HAIR_COLOR_\blonde\""""",pages_notloggedin,"COMFORT_LEVEL_\somewhat_comfortable\""""",medium_fbigan,pages_hair-colorist,pages_faqs,customer_type_rootreboot,"NATURAL_HAIR_COLOR_\blonde\""""",FREQUENCY_12,pages_how-to-color-your-hair,latitude,"GRAY_LEVEL_\less_than_50\""""",pages_search,pages_cart,pages_colorbar,customer_type_colorbar,FREQUENCY_3,FREQUENCY_7,"DO_WITH_HAIR_\touch_up\""""",utm_bronto,pages_other,pages_hair-color,pages_hair-dye-ingredients,"DO_WITH_HAIR_\change\""""","COLOR_WHERE_\salon_and_home\""""",device_mobile,FREQUENCY_other,pages_learn-more,pages_product,browser_other,avg_session_length,"GRAY_LEVEL_\all\""""","COMFORT_LEVEL_\very_comfortable\""""",FREQUENCY_5
P 33,FREQUENCY_5,pages_support,browser_ie,"DO_WITH_HAIR_\not_sure\""""",customer_type_gloss,"COMFORT_LEVEL_\very_comfortable\""""","GRAY_LEVEL_\more_than_50\""""",pages_signIn,browser_firefox,"COMFORT_LEVEL_\somewhat_comfortable\""""","DO_WITH_HAIR_\color_and_highlights\""""",visit_count,pages_faqs,utm_bronto,total_pages,pages_hair-colorist,pages_search,FREQUENCY_12,pages_share,country,pages_about,device_mobile,device_desktop,pages_blog,browser_safari,pages_refer,"GRAY_LEVEL_\not_sure\""""",medium_cpc,pages_membership,pages_welcome,latitude,"COLOR_WHERE_\at_home\""""",pages_shopping,"COLOR_WHERE_\salon_and_home\""""",utm_google,"HAIR_COLOR_\blonde\""""",order_type_subscription,pages_cart,FREQUENCY_8,pages_color-translator,FREQUENCY_2,"HAIR_COLOR_\brown\""""",visitor_age,browser_facebook,"GRAY_LEVEL_\less_than_50\""""","COLOR_WHERE_\at_salon\""""",order_type_renewal,customer_type_color,state,purchases,medium_none,utm_direct,revenue,pages_product,medium_organic,total_customer_type,total_order_type,"NATURAL_HAIR_COLOR_\blonde\""""",utm_other,"NATURAL_HAIR_COLOR_\black\""""",pages_hair-color-chart,medium_fbigan,utm_facebook,pages_email-unsubscribe,city,"NATURAL_HAIR_COLOR_\brown\""""",medium_other,pages_checkout,"HAIR_COLOR_\black\""""",predicted_future_ltr_10yr,pages_learn-more,order_type_one-time,FREQUENCY_7,pages_shop,pages_landing,medium_email,customer_type_colorbar,"NATURAL_HAIR_COLOR_\red\""""","DO_WITH_HAIR_\change\""""","DO_WITH_HAIR_\touch_up\""""",pages_hair-dye-ingredients,FREQUENCY_6,"HAIR_COLOR_\red\""""","COMFORT_LEVEL_\not_comfortable\""""",pages_confirmation,longitude,pages_color-advisor,pages_hair-color,pages_colorbar,FREQUENCY_4,FREQUENCY_3,customer_type_rootreboot,"GRAY_LEVEL_\no_gray\""""",utm_iterable,pages_compare-shades,browser_chrome,FREQUENCY_other,pages_account,pages_notloggedin,"COMFORT_LEVEL_\comfortable\""""",avg_session_length,pages_how-to-color-your-hair,"GRAY_LEVEL_\all\""""",browser_other,pages_other,device_tablet,customer_type_other,"DO_WITH_HAIR_\highlight_only\"""""
P 34,"GRAY_LEVEL_\all\""""",latitude,country,FREQUENCY_3,state,pages_blog,utm_bronto,FREQUENCY_12,pages_hair-color-chart,"COMFORT_LEVEL_\comfortable\""""",browser_ie,medium_organic,pages_share,"COMFORT_LEVEL_\not_comfortable\""""",FREQUENCY_2,pages_search,FREQUENCY_6,pages_signIn,"HAIR_COLOR_\brown\""""","COLOR_WHERE_\at_salon\""""","DO_WITH_HAIR_\touch_up\""""","NATURAL_HAIR_COLOR_\red\""""",customer_type_color,total_pages,visit_count,pages_about,order_type_subscription,browser_other,pages_color-translator,device_mobile,FREQUENCY_4,pages_support,pages_shopping,"NATURAL_HAIR_COLOR_\blonde\""""",pages_faqs,pages_product,customer_type_rootreboot,utm_other,pages_welcome,pages_cart,"COLOR_WHERE_\at_home\""""","DO_WITH_HAIR_\change\""""",revenue,purchases,visitor_age,medium_fbigan,pages_email-unsubscribe,utm_google,device_desktop,medium_none,city,utm_direct,browser_firefox,medium_email,predicted_future_ltr_10yr,total_customer_type,total_order_type,customer_type_colorbar,"GRAY_LEVEL_\less_than_50\""""",browser_facebook,browser_safari,pages_checkout,utm_facebook,pages_membership,pages_how-to-color-your-hair,pages_colorbar,medium_other,order_type_renewal,pages_color-advisor,customer_type_gloss,order_type_one-time,"GRAY_LEVEL_\no_gray\""""",pages_shop,FREQUENCY_8,pages_other,"HAIR_COLOR_\blonde\""""","HAIR_COLOR_\red\""""","GRAY_LEVEL_\not_sure\""""",pages_confirmation,"DO_WITH_HAIR_\color_and_highlights\""""",pages_refer,"HAIR_COLOR_\black\""""","NATURAL_HAIR_COLOR_\brown\""""",pages_hair-colorist,"NATURAL_HAIR_COLOR_\black\""""",browser_chrome,FREQUENCY_other,pages_hair-dye-ingredients,pages_account,medium_cpc,pages_notloggedin,pages_landing,utm_iterable,device_tablet,avg_session_length,"COMFORT_LEVEL_\very_comfortable\""""",longitude,FREQUENCY_7,pages_learn-more,"DO_WITH_HAIR_\highlight_only\""""","COMFORT_LEVEL_\somewhat_comfortable\""""","COLOR_WHERE_\salon_and_home\""""",pages_hair-color,customer_type_other,"DO_WITH_HAIR_\not_sure\""""",pages_compare-shades,FREQUENCY_5,"GRAY_LEVEL_\more_than_50\"""""
P 35,medium_cpc,pages_support,pages_hair-colorist,browser_chrome,device_tablet,"GRAY_LEVEL_\all\""""",pages_hair-color,latitude,customer_type_gloss,"DO_WITH_HAIR_\not_sure\""""",pages_faqs,pages_product,pages_learn-more,country,pages_cart,FREQUENCY_6,pages_compare-shades,pages_landing,browser_other,pages_hair-dye-ingredients,state,FREQUENCY_other,FREQUENCY_2,"GRAY_LEVEL_\not_sure\""""",FREQUENCY_4,pages_search,pages_welcome,pages_about,customer_type_colorbar,FREQUENCY_7,"COMFORT_LEVEL_\not_comfortable\""""","COLOR_WHERE_\salon_and_home\""""","HAIR_COLOR_\brown\""""",pages_shopping,utm_google,utm_iterable,FREQUENCY_12,total_pages,visit_count,pages_colorbar,"COMFORT_LEVEL_\comfortable\""""",pages_checkout,utm_facebook,order_type_subscription,order_type_renewal,purchases,revenue,"NATURAL_HAIR_COLOR_\black\""""",medium_other,total_order_type,total_customer_type,pages_confirmation,"HAIR_COLOR_\black\""""","COLOR_WHERE_\at_salon\""""",medium_email,"DO_WITH_HAIR_\change\""""",browser_facebook,customer_type_color,pages_email-unsubscribe,utm_direct,pages_account,medium_none,order_type_one-time,medium_fbigan,"GRAY_LEVEL_\no_gray\""""",pages_refer,"NATURAL_HAIR_COLOR_\brown\""""","NATURAL_HAIR_COLOR_\blonde\""""","COLOR_WHERE_\at_home\""""",FREQUENCY_3,avg_session_length,"GRAY_LEVEL_\less_than_50\""""",pages_notloggedin,pages_color-translator,longitude,"DO_WITH_HAIR_\color_and_highlights\""""","HAIR_COLOR_\blonde\""""","COMFORT_LEVEL_\very_comfortable\""""",utm_other,predicted_future_ltr_10yr,"COMFORT_LEVEL_\somewhat_comfortable\""""",pages_how-to-color-your-hair,pages_membership,device_mobile,FREQUENCY_8,"DO_WITH_HAIR_\touch_up\""""","HAIR_COLOR_\red\""""","NATURAL_HAIR_COLOR_\red\""""",city,utm_bronto,customer_type_rootreboot,pages_share,device_desktop,"GRAY_LEVEL_\more_than_50\""""",visitor_age,browser_safari,pages_color-advisor,pages_other,pages_signIn,pages_shop,FREQUENCY_5,customer_type_other,browser_firefox,"DO_WITH_HAIR_\highlight_only\""""",pages_hair-color-chart,pages_blog,browser_ie,medium_organic
